original_filename,new_filename,category,titleEn,titleZh
"2E4CF2D8-6B32-4867-B406-DA9F133274BD_1_105_c.jpeg","01-Hero/queenstown-hero-remarkables-sunset-01.jpg","01-Hero","Sunset over The Remarkables and Lake Wakatipu","卓越山脉与瓦卡蒂普湖日落"
"5E25CD38-C838-4528-AF57-0143D428C97A_1_105_c.jpeg","01-Hero/queenstown-hero-double-rainbow-02.jpg","01-Hero","Double Rainbow from Bob's Peak","鲍勃峰双彩虹"
"1B087FC1-827F-438D-AEBB-B51F2F77CDA9_1_105_c.jpeg","01-Hero/queenstown-hero-lake-panorama-03.jpg","01-Hero","Panoramic View from Bob's Peak","鲍勃峰全景"
"4DCBF7AE-4DB8-4239-9DAE-7065B7F29401_1_105_c.jpeg","01-Hero/queenstown-hero-rainbow-town-04.jpg","01-Hero","Rainbow over Queenstown Bay","皇后镇湾彩虹"
"093C7234-6E96-498D-8B03-230CF2E03889_1_105_c.jpeg","01-Hero/queenstown-hero-golden-peak-05.jpg","01-Hero","Alpenglow Peak over the Lake","雪山夕照"
"0BF2274F-618E-4AF2-965F-744BEDFCAB49_4_5005_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-01.jpg","02-Lake-Wakatipu","TSS Earnslaw on Lake Wakatipu","瓦卡蒂普湖蒸汽船"
"1DE02929-47E0-4D7A-BA47-5B1B8D7E960C_4_5005_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-02.jpg","02-Lake-Wakatipu","Steamship Cruise on Blue Lake Waters","蓝色湖面上的蒸汽船巡游"
"814CE7B8-D1D2-4443-B75A-5A09B4CAFD87_4_5005_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-03.jpg","02-Lake-Wakatipu","Lake Wakatipu Mountain Vista","瓦卡蒂普湖雪山风光"
"338B07BB-7802-4051-81B8-F23E9FFA1CBC_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-04.jpg","02-Lake-Wakatipu","Rainbow over the Earnslaw","蒸汽船与彩虹"
"2EA3C154-EBE1-482D-A79B-0161FDC9CDF4_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-05.jpg","02-Lake-Wakatipu","Snow Peaks and Turquoise Lake","雪山与碧蓝湖水"
"3C240083-3DD1-4B82-83CE-054E73D0E97E_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-06.jpg","02-Lake-Wakatipu","Golden Hour Lake View","黄金时刻湖景"
"5DAECE53-448B-48F6-8AFB-648077E172CD_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-07.jpg","02-Lake-Wakatipu","Evening Light on the Lake","傍晚湖光"
"711DA47A-5E77-41D6-8C14-CCC0732CE9C1_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-08.jpg","02-Lake-Wakatipu","Earnslaw Steaming Across the Lake","厄恩斯劳号航行"
"0E81528A-8B86-48AF-A9E1-1A5C136AD599_1_105_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-09.jpg","02-Lake-Wakatipu","Rainbow at the Lakeshore","湖岸彩虹"
"4B7278F5-CFAA-49CA-8853-9EB5D5D7CCFD_4_5005_c.jpeg","02-Lake-Wakatipu/queenstown-lake-wakatipu-10.jpg","02-Lake-Wakatipu","Classic Earnslaw Lake Scene","经典蒸汽船湖景"
"1A318BED-4F11-481B-9BFE-98C1A52D85DC_1_105_c.jpeg","03-Skyline-Gondola/queenstown-skyline-gondola-01.jpg","03-Skyline-Gondola","Skyline Gondola on Bob's Peak","天空缆车"
"5F0749D8-97F8-45EF-A908-39C65146623B_1_105_c.jpeg","03-Skyline-Gondola/queenstown-skyline-gondola-02.jpg","03-Skyline-Gondola","Scenic Lookout over the Lake","湖景观景台"
"A70BD47A-F19D-4F6B-9CEB-2A256C4CA137_1_105_c.jpeg","03-Skyline-Gondola/queenstown-skyline-gondola-03.jpg","03-Skyline-Gondola","Elevated Town and Lake Vista","高处俯瞰小镇与湖泊"
"0D323814-2FCE-4BB3-8276-B11B48159D91_1_105_c.jpeg","04-Adventure-Activities/queenstown-adventure-activities-01.jpg","04-Adventure-Activities","Shotover Jet on the River","沙特欧弗喷射快艇"
"30D4AD8C-315C-496B-A626-1F6AC814A62C_1_105_c.jpeg","04-Adventure-Activities/queenstown-adventure-activities-02.jpg","04-Adventure-Activities","Shotover Jet Canyon Run","峡谷喷射快艇"
"2E2C02FC-C471-4BFD-92C1-150C2FB2945B_1_105_c.jpeg","04-Adventure-Activities/queenstown-adventure-activities-03.jpg","04-Adventure-Activities","Jet Boat River Adventure","河上喷射冒险"
"662EE69F-D424-49A5-B063-EA80C27B1265_1_105_c.jpeg","04-Adventure-Activities/queenstown-adventure-activities-04.jpg","04-Adventure-Activities","Jet Boat at the River Dock","快艇码头"
